Country,density,agriculturalLand,landArea,armedForcesSize,birthRate,co2Emissions,fertilityRate,forestedArea,gasolinePrice,gdp,grossPrimaryEducationEnrollment,grossTertiaryEducationEnrollment,infantMortality,lifeExpectancy,maternalMortalityRatio
"South Korea",527,17.4,99720,634,6.4,620302,0.98,55.5,1.22,2029000000000,98.1,94.3,2.7,82.6,11
"South Sudan",18,,644329,185,35.01,1727,4.7,,0.28,11997800751,73,,63.7,57.6,1150
"Spain",94,52.6,505370,196,7.9,244002,1.26,33.2,1.26,1394116310769,102.7,88.9,2.5,83.3,4
"Sri Lanka",341,43.7,65610,317,15.83,23362,2.2,28.1,0.88,84008783756,100.2,19.6,6.4,76.8,36
"Sudan",25,28.7,1861484,185,35.01,1727,4.41,72.1,0.95,18902284476,76.8,16.9,42.1,65.1,295
"Suriname",4,0.6,163820,2,18.54,1738,2.42,98.3,1.29,3985250737,108.8,12.6,16.9,71.6,120
"Sweden",25,7.4,450295,30,11.4,43252,1.76,59.7,1.42,530832908738,126.6,67,2.2,82.5,4
"Switzerland",219,38.4,41277,21,10,34477,1.52,23.8,1.45,703082435360,105.2,59.6,3.7,83.6,5
"Syria",95,75.8,185180,239,23.69,2883,2.81,11.7,0.83,40405006007,81.7,40.1,14,71.8,31
"Taiwan",,,,,,,,,,,,,,,
"Tajikistan",68,34.1,144100,17,30.76,531,3.59,16.7,0.71,8116626794,100.9,31.3,30.4,70.9,17
"Tanzania",67,44.8,947300,28,36.7,11973,4.89,46,0.87,63177068175,94.2,4,37.6,65,524
"Thailand",137,43.3,513120,455,10.34,283763,1.53,25.4,0.71,543649976166,99.8,49.3,7.8,76.9,37
"Timor-Leste",,,,,,,,,,,,,,,
"Togo",152,70.2,56785,10,33.11,3,4.32,18.7,0.71,5459979417,123.8,14.5,47.4,60.8,396
"Tonga",147,45.8,747,0,24.3,128,3.56,3.8,,450353314,116.3,6.4,13.4,70.8,52
"Trinidad and Tobago",273,10.5,5128,4,12.94,43868,1.73,40.6,0.54,24100202834,106.2,12,16.4,73.4,67
"Tunisia",76,64.8,163610,48,17.56,29937,2.2,52.7,0.73,38797709924,115.4,31.7,14.6,76.5,43
"Turkey",110,49.8,783562,512,16.03,372725,2.07,8.3,1.42,754411708203,93.2,23.9,9.1,77.4,17
"Turkmenistan",13,72,488100,42,23.83,7063,2.79,73.1,0.29,40761142857,88.4,8,39.3,68.1,7
"Tuvalu",393,60,26,0,22.7,11,,31.1,,47271463,86,,20.6,67,
"Uganda",229,71.9,241038,46,38.14,568,4.96,87.6,0.94,34387229486,102.7,4.8,33.8,63,375
"Ukraine",75,71.7,603550,297,8.7,20225,1.3,9.7,0.83,153781069118,99,82.7,7.5,71.6,19
"United Arab Emirates",118,5.5,83600,63,10.33,206324,1.41,34.6,0.49,421142267938,108.4,36.8,6.5,77.8,3
"United Kingdom",281,71.7,243610,148,11,379025,1.68,7.2,1.46,2827113184696,101.2,60,3.6,81.3,7
"USA",35,44.4,9147593,1350,11.4,5000000,1.64,33.9,0.84,21427700000000,101.8,88.2,5.6,78.5,19
"Uruguay",20,82.6,176215,22,13.86,6766,1.97,2.7,1.5,56045912952,108.5,63.1,6.4,77.8,17
"Uzbekistan",79,62.9,447400,68,23.3,91811,2.42,62,1.03,57921286440,104.2,10.1,19.1,71.6,29
"Vanuatu",25,15.3,12189,0,29.6,147,3.78,33.2,1.31,917058851,109.3,4.7,22.3,70.3,72
"Vatican City",2003,,,0.135,0,0,,,,800000000,,,0,87,
"Venezuela",32,24.5,912050,343,17.88,164175,2.27,46.3,0,482359318768,97.2,79.3,21.4,72.1,125
"Vietnam",314,39.3,331210,522,16.75,192668,2.05,42.3,0.8,261921244843,110.6,28.5,16.5,75.3,43
"Yemen",56,44.6,527968,40,30.45,10609,3.79,1,0.92,26914402224,93.6,10.2,42.9,66.1,164
"Zambia",25,32.1,752618,16,36.19,5141,4.63,55.8,1.4,23064722446,98.7,4.1,40.4,63.5,213
"Zimbabwe",38,41.9,390757,51,30.68,10983,3.62,32.7,1.34,21440758800,109.9,10,33.9,61.2,458
